unit_ref,tenancy_id,tenancy_start_date,tenancy_end_date
Unit8097,Tenant643,04/02/2019,
Unit5076,Tenant644,30/09/2002,
Unit3661,Tenant645,13/12/2018,
Unit2729,Tenant646,12/07/1993,
Unit6447,Tenant647,04/11/2013,03/05/2020
Unit6447,Tenant648,07/09/2020,
Unit459,Tenant649,18/04/2011,
Unit7314,Tenant650,11/06/2007,
Unit7648,Tenant651,07/03/2005,
Unit4708,Tenant652,08/03/2010,
Unit521,Tenant653,24/06/1991,
Unit6992,Tenant654,30/09/2002,23/08/2020
Unit4291,Tenant655,23/03/2015,31/05/2020
Unit665,Tenant656,23/08/1982,
Unit8995,Tenant657,20/08/2001,05/07/2020
Unit8995,Tenant658,05/10/2020,
Unit7927,Tenant659,04/02/2013,
Unit2096,Tenant660,22/01/2018,
Unit6322,Tenant661,02/02/2009,30/09/2019
Unit6322,Tenant662,01/12/2020,
Unit9672,Tenant663,12/05/1975,
Unit2455,Tenant664,07/02/2005,
Unit6503,Tenant665,24/08/2009,
Unit8742,Tenant666,14/02/2000,
Unit7226,Tenant667,05/12/2011,
Unit2921,Tenant668,09/05/2011,
Unit1184,Tenant669,18/05/2012,09/08/2019
